Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,7325,0,7,8.170512876868553,5.985275999591977,47.069795000425074,83.18470989761092,24.472389050591175,0.0,7,8,8,8,10,12,14,17,37,47,47
,Aggregated,7325,0,7,8.170512876868553,5.985275999591977,47.069795000425074,83.18470989761092,24.472389050591175,0.0,7,8,8,8,10,12,14,17,37,47,47
